r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.1;0.90483741803596;0.90483741803596;0.0951625819640405
1;0.2;0.818730753077982;0.818730753077982;0.181269246922018
1;0.3;0.74987413768778;0.74987413768778;0.25012586231222
1;0.4;0.695764228165129;0.695764228165129;0.304235771834871
1;0.5;0.653356130648331;0.653356130648331;0.346643869351669
1;0.6;0.62013293588743;0.62013293588743;0.37986706411257
1;0.7;0.594107010176951;0.594107010176951;0.405892989823049
1;0.8;0.573719383749628;0.573719383749628;0.426280616250372
1;0.9;0.557748590781861;0.557748590781861;0.442251409218139
1;1;0.545237758879861;0.545237758879861;0.454762241120139
1;1.1;0.535437311939;0.535437311939;0.464562688061
1;1.2;0.527760063899746;0.527760063899746;0.472239936100254
1;1.3;0.521746038441579;0.521746038441579;0.478253961558421
1;1.4;0.517034909919802;0.517034909919802;0.482965090080198
1;1.5;0.513344414742719;0.513344414742719;0.486655585257281
1;1.6;0.51045343976951;0.51045343976951;0.48954656023049
1;1.7;0.508188774488922;0.508188774488922;0.491811225511078
1;1.8;0.506414733246562;0.506414733246562;0.493585266753438
1;1.9;0.505025025744722;0.505025025744722;0.494974974255278
1;2;0.503936388742065;0.503936388742065;0.496063611257935
1;2.1;0.503083597401452;0.503083597401452;0.496916402598548
1;2.2;0.502415557394683;0.502415557394683;0.497584442605317
1;2.3;0.501892243625663;0.501892243625663;0.498107756374337
1;2.4;0.50148230215798;0.50148230215798;0.49851769784202
1;2.5;0.501161171668252;0.501161171668252;0.498838828331748
1;2.6;0.500909611873594;0.500909611873594;0.499090388126406
1;2.7;0.500712550765063;0.500712550765063;0.499287449234937
1;2.8;0.500558181580003;0.500558181580003;0.499441818419997
1;2.9;0.500437255409061;0.500437255409061;0.499562744590939
1;3;0.500342527054999;0.500342527054999;0.499657472945001
1;3.1;0.500268320942349;0.500268320942349;0.499731679057651
1;3.2;0.500210191069734;0.500210191069734;0.499789808930266
1;3.3;0.500164654631163;0.500164654631163;0.499835345368837
1;3.4;0.500128983346428;0.500128983346428;0.499871016653572
1;3.5;0.500101039998317;0.500101039998317;0.499898960001683
1;3.6;0.500079150382919;0.500079150382919;0.499920849617081
1;3.7;0.500062003000996;0.500062003000996;0.499937996999004
1;3.8;0.50004857048053;0.50004857048053;0.49995142951947
1;3.9;0.500038048022531;0.500038048022531;0.499961951977469
1;4;0.500029805182134;0.500029805182134;0.499970194817866
1;4.1;0.500023348095983;0.500023348095983;0.499976651904017
1;4.2;0.500018289892798;0.500018289892798;0.499981710107202
1;4.3;0.500014327514278;0.500014327514278;0.499985672485722
1;4.4;0.500011223557603;0.500011223557603;0.499988776442397
1;4.5;0.500008792051631;0.500008792051631;0.499991207948369
1;4.6;0.500006887314577;0.500006887314577;0.499993112685423
1;4.7;0.500005395225605;0.500005395225605;0.499994604774395
1;4.8;0.500004226387368;0.500004226387368;0.499995773612632
1;4.9;0.500003310769835;0.500003310769835;0.499996689230165
1;5;0.500002593514495;0.500002593514495;0.499997406485505
1;5.1;0.500002031647553;0.500002031647553;0.499997968352447
1;5.2;0.500001591505191;0.500001591505191;0.499998408494809
1;5.3;0.500001246716621;0.500001246716621;0.499998753283379
1;5.4;0.500000976624105;0.500000976624105;0.499999023375895
1;5.5;0.500000765045261;0.500000765045261;0.499999234954739
1;5.6;0.500000599303507;0.500000599303507;0.499999400696493
1;5.7;0.500000469468556;0.500000469468556;0.499999530531444
1;5.8;0.500000367761447;0.500000367761447;0.499999632238553
1;5.9;0.500000288088478;0.500000288088478;0.499999711911522
1;6;0.500000225676106;0.500000225676106;0.499999774323894
1;6.1;0.500000176784941;0.500000176784941;0.499999823215059
1;6.2;0.500000138485709;0.500000138485709;0.499999861514291
1;6.3;0.50000010848374;0.50000010848374;0.49999989151626
1;6.4;0.500000084981489;0.500000084981489;0.499999915018511
1;6.5;0.500000066570839;0.500000066570839;0.499999933429161
1;6.6;0.500000052148728;0.500000052148728;0.499999947851272
1;6.7;0.500000040851067;0.500000040851067;0.499999959148933
1;6.8;0.500000032000967;0.500000032000967;0.499999967999033
1;6.9;0.500000025068179;0.500000025068179;0.499999974931821
1;7;0.500000019637332;0.500000019637332;0.499999980362668
1;7.1;0.50000001538304;0.50000001538304;0.49999998461696
1;7.2;0.500000012050411;0.500000012050411;0.499999987949589
1;7.3;0.500000009439773;0.500000009439773;0.499999990560227
1;7.4;0.500000007394712;0.500000007394712;0.499999992605288
1;7.5;0.500000005792699;0.500000005792699;0.499999994207301
1;7.6;0.500000004537751;0.500000004537751;0.499999995462249
1;7.7;0.500000003554678;0.500000003554678;0.499999996445322
1;7.8;0.500000002784582;0.500000002784582;0.499999997215418
1;7.9;0.500000002181321;0.500000002181321;0.499999997818679
1;8;0.500000001708753;0.500000001708753;0.499999998291247
1;8.1;0.500000001338564;0.500000001338564;0.499999998661436
1;8.2;0.500000001048573;0.500000001048573;0.499999998951427
1;8.3;0.500000000821407;0.500000000821407;0.499999999178593
1;8.4;0.500000000643455;0.500000000643455;0.499999999356545
1;8.5;0.500000000504055;0.500000000504055;0.499999999495945
1;8.6;0.500000000394855;0.500000000394855;0.499999999605145
1;8.7;0.500000000309312;0.500000000309312;0.499999999690688
1;8.8;0.500000000242302;0.500000000242302;0.499999999757698
1;8.9;0.500000000189809;0.500000000189809;0.499999999810191
1;9;0.500000000148688;0.500000000148688;0.499999999851312
1;9.1;0.500000000116476;0.500000000116476;0.499999999883524
1;9.2;0.500000000091242;0.500000000091242;0.499999999908758
1;9.3;0.500000000071475;0.500000000071475;0.499999999928525
1;9.4;0.500000000055991;0.500000000055991;0.499999999944009
1;9.5;0.500000000043861;0.500000000043861;0.499999999956139
1;9.6;0.500000000034359;0.500000000034359;0.499999999965641
1;9.7;0.500000000026915;0.500000000026915;0.499999999973085
1;9.8;0.500000000021084;0.500000000021084;0.499999999978916
1;9.9;0.500000000016516;0.500000000016516;0.499999999983484
1;10;0.500000000012938;0.500000000012938;0.499999999987062
