r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.02;1;1;0.00995016625083193
1;0.04;1;1;0.0295544664514918
1;0.06;1;1;0.0487705754992859
1;0.08;1;1;0.0676061800940517
1;0.1;1;1;0.0860688147287717
1;0.12;1;1;0.104165864703472
1;0.14;1;1;0.121904569079439
1;0.16;1;1;0.139292023574942
1;0.18;1;1;0.156335183403616
1;0.2;1;1;0.173040866056637
1;0.22;1;1;0.189415754029813
1;0.24;1;1;0.205466397496666
1;0.26;1;1;0.221199216928595
1;0.28;1;1;0.236620505663147
1;0.3;1;1;0.251736432421435
1;0.32;1;1;0.26655304377571
1;0.34;1;1;0.281076266568074
1;0.36;1;1;0.295311910281286
1;0.38;1;1;0.312710721209028
1;0.4;1;1;0.322943125501835
1;0.42;1;1;0.33634974986368
1;0.44;1;1;0.349490905276683
1;0.46;1;1;0.362371848378226
1;0.48;1;1;0.374997731717299
1;0.5;1;1;0.387373605815584
1;0.52;1;1;0.399504421187734
1;0.54;1;1;0.411395030321644
1;0.56;1;1;0.425927738803564
1;0.58;1;1;0.440101633434598
1;0.6;1;1;0.44843743413217
1;0.62;1;1;0.459359104690683
1;0.64;1;1;0.470064511682431
1;0.66;1;1;0.480557937412951
1;0.68;1;1;0.49084357939245
1;0.7;1;1;0.500925552014864
1;0.72;1;1;0.510807888203668
1;0.74;1;1;0.520494541025106
1;0.76;1;1;0.529989385269462
1;0.78;1;1;0.539296219001034
1;0.8;1;1;0.548418765077407
1;0.82;1;1;0.557360672638648
1;0.84;1;1;0.566125518567009
1;0.86;1;1;0.574716808917725
1;0.88;1;1;0.583137980321491
1;0.9;1;1;0.591392401359151
1;0.92;1;1;0.599483373909181
1;0.940000000000001;1;1;0.607414134468481
1;0.960000000000001;1;1;0.615187855447021
1;0.980000000000001;1;1;0.622807646436843
1;1;1;1;0.632120558828557
1;1.02;1;1;0.639405059826921
1;1.04;1;1;0.644773619075048
1;1.06;1;1;0.653544189669942
1;1.08;1;1;0.66040447435506
1;1.1;1;1;0.66712891630192
1;1.12;1;1;0.67372020537696
1;1.14;1;1;0.680180978183695
1;1.16;1;1;0.686513819117394
1;1.18;1;1;0.692721261398868
1;1.2;1;1;0.698805788087797
1;1.22;1;1;0.704769833075985
1;1.24;1;1;0.710615782060949
1;1.26;1;1;0.716345973500229
1;1.28;1;1;0.721962699546805
1;1.3;1;1;0.727468206965987
1;1.32;1;1;0.732864698034149
1;1.34;1;1;0.738154331419673
1;1.36;1;1;0.743339223046443
1;1.38;1;1;0.748421446940243
1;1.4;1;1;0.753403036058393
1;1.42;1;1;0.758285983102963
1;1.44;1;1;0.763072241317878
1;1.46;1;1;0.767763725270241
1;1.48;1;1;0.772362311616187
1;1.5;1;1;0.77686983985157
1;1.52;1;1;0.781288113047785
1;1.54;1;1;0.785618898573021
1;1.56;1;1;0.789863928799235
1;1.58;1;1;0.795052206883202
1;1.6;1;1;0.799110445089767
1;1.62;1;1;0.802101300916385
1;1.64;1;1;0.807950091379245
1;1.66;1;1;0.809861019898479
1;1.68;1;1;0.813626023960589
1;1.7;1;1;0.817316475947265
1;1.72;1;1;0.820933852088506
1;1.74;1;1;0.824479599383002
1;1.76;1;1;0.827955136176949
1;1.78;1;1;0.831361852731404
1;1.8;1;1;0.835525543422844
1;1.82;1;1;0.837974249066119
1;1.84;1;1;0.841182573893079
1;1.86;1;1;0.845103790115092
1;1.88;1;1;0.847409894243116
1;1.9;1;1;0.850431380777364
1;1.92;1;1;0.853393037869649
1;1.94;1;1;0.856296050222296
1;1.96;1;1;0.859141579078954
1;1.98;1;1;0.861930762689107
1;2;1;1;0.864664716763387
1;2.02;1;1;0.867344534919878
1;2.04;1;1;0.870619810022629
1;2.06;1;1;0.873181709432005
1;2.08;1;1;0.87569287983422
1;2.1;1;1;0.878154325730919
1;2.12;1;1;0.879968371488543
1;2.14;1;1;0.88234515697822
1;2.16;1;1;0.884674878961937
1;2.18;1;1;0.88695846935955
1;2.2;1;1;0.889749474695514
1;2.22;1;1;0.89193258136517
1;2.24;1;1;0.894072459626454
1;2.26;1;1;0.896169965459202
1;2.28;1;1;0.898225937893716
1;2.3;1;1;0.899741156277196
1;2.32;1;1;0.901726414395638
1;2.34;1;1;0.903672361769506
1;2.36;1;1;0.905579776803697
1;2.38;1;1;0.907449422489656
1;2.4;1;1;0.909282046710587
1;2.42;1;1;0.911078382540613
1;2.44;1;1;0.912839148538019
1;2.46;1;1;0.914565049032679
1;2.48;1;1;0.916256774407804
1;2.5;1;1;0.917915001376101
1;2.52;1;1;0.919540393250467
1;2.54;1;1;0.921133600209325
1;2.56;1;1;0.9226952595567
1;2.58;1;1;0.924225995977154
1;2.6;1;1;0.925726421785666
1;2.62;1;1;0.927197137172564
1;2.64;1;1;0.928638730443614
1;2.66;1;1;0.930051778255344
1;2.68;1;1;0.931436845845722
1;2.7;1;1;0.93279448726025
1;2.72;1;1;0.934453797281975
1;2.74;1;1;0.935751699055497
1;2.76;1;1;0.937023900651985
1;2.78;1;1;0.938270910969041
1;2.8;1;1;0.939493228827419
1;2.82;1;1;0.940691343170561
1;2.84;1;1;0.941865733260178
1;2.86;1;1;0.943016868867966
1;2.88;1;1;0.944145210463515
1;2.9;1;1;0.945251209398509
1;2.92;1;1;0.94633530808727
1;2.94;1;1;0.947397940183726
1;2.96;1;1;0.948439530754886
1;2.98;1;1;0.949460496450865
1;3;1;1;0.950461245671556
1;3.02;1;1;0.95144217872999
1;3.04;1;1;0.952641075608859
1;3.06;1;1;0.953346158135528
1;3.08;1;1;0.954269966099782
1;3.1;1;1;0.955399044659725
1;3.12;1;1;0.956063066376592
1;3.14;1;1;0.95714787313296
1;3.16;1;1;0.957996402096554
1;3.18;1;1;0.958828129060932
1;3.2;1;1;0.959643386727969
1;3.22;1;1;0.960442501211601
1;3.24;1;1;0.961225792168278
1;3.26;1;1;0.961993572924826
1;3.28;1;1;0.962746150603784
1;3.3;1;1;0.96348382624626
1;3.32;1;1;0.964206894932345
1;3.34;1;1;0.964915645899155
1;3.36;1;1;0.965610362656527
1;3.38;1;1;0.966291323100427
1;3.4;1;1;0.966958799624113
1;3.42;1;1;0.967613059227093
1;3.44;1;1;0.968254363621932
1;3.46;1;1;0.968882969338939
1;3.48;1;1;0.969802616577681
1;3.5;1;1;0.970103085563073
1;3.52;1;1;0.970695084132959
1;3.54;1;1;0.97127536034576
1;3.56;1;1;0.9718441463197
1;3.58;1;1;0.97240166957675
1;3.6;1;1;0.972948153133649
1;3.62;1;1;0.973483815591105
1;3.64;1;1;0.974008871221244
1;3.66;1;1;0.974902825276586
1;3.68;1;1;0.975027997957723
1;3.7;1;1;0.975522476728347
1;3.72;1;1;0.97600716416329
1;3.74;1;1;0.97648225414399
1;3.76;1;1;0.976947936712774
1;3.78;1;1;0.977404398148878
1;3.8;1;1;0.977851821042962
1;3.82;1;1;0.978290384370151
1;3.84;1;1;0.978720263561622
1;3.86;1;1;0.979141630574785
1;3.88;1;1;0.979554653962062
1;3.9;1;1;0.98005945135435
1;3.92;1;1;0.980356327446934
1;3.94;1;1;0.980745298224613
1;3.96;1;1;0.981126566864848
1;3.98;1;1;0.981500285880181
1;4;1;1;0.981866604763199
1;4.02;1;1;0.98222567004634
1;4.04;1;1;0.982577625360506
1;4.06;1;1;0.983007785323031
1;4.08;1;1;0.983344253717091
1;4.1;1;1;0.983674059590559
1;4.12;1;1;0.983997334870181
1;4.14;1;1;0.984314208870379
1;4.16;1;1;0.984624808344979
1;4.18;1;1;0.984929257537911
1;4.2;1;1;0.985227678232912
1;4.22;1;1;0.98552018980224
1;4.24;1;1;0.985806909254422
1;4.26;1;1;0.986087951281062
1;4.28;1;1;0.986363428302719
1;4.3;1;1;0.986633450513872
1;4.32;1;1;0.986898125927008
1;4.34;1;1;0.987157560415821
1;4.36;1;1;0.987411857757566
1;4.37999999999999;1;1;0.987661119674569
1;4.39999999999999;1;1;0.987905445874922
1;4.41999999999999;1;1;0.988144934092362
1;4.43999999999999;1;1;0.988379680125369
1;4.45999999999999;1;1;0.988609777875487
1;4.47999999999999;1;1;0.988835319384883
1;4.49999999999999;1;1;0.989056394873168
1;4.51999999999999;1;1;0.989273092773487
1;4.53999999999999;1;1;0.989485499767887
1;4.55999999999999;1;1;0.989693700821999
1;4.57999999999999;1;1;0.989897779219021
1;4.59999999999999;1;1;0.990097816593033
1;4.61999999999999;1;1;0.99029389296165
1;4.63999999999999;1;1;0.990486086758036
1;4.65999999999999;1;1;0.990674474862272
1;4.67999999999999;1;1;0.99085913263211
1;4.69999999999999;1;1;0.991040133933121
1;4.71999999999999;1;1;0.991217551168239
1;4.73999999999999;1;1;0.991391455306723
1;4.75999999999999;1;1;0.991561915912549
1;4.77999999999999;1;1;0.991729001172229
1;4.79999999999999;1;1;0.991892777922097
1;4.81999999999999;1;1;0.992092945948407
1;4.83999999999998;1;1;0.992249516108863
1;4.85999999999998;1;1;0.992402985972422
1;4.87999999999998;1;1;0.992553416929076
1;4.89999999999998;1;1;0.992700869153212
1;4.91999999999998;1;1;0.992951919720368
1;4.93999999999998;1;1;0.992987072167415
1;4.95999999999998;1;1;0.993125937442504
1;4.97999999999998;1;1;0.993262053000915
1;4.99999999999998;1;1;0.993395473290685
1;5.01999999999998;1;1;0.993526251681711
1;5.03999999999998;1;1;0.993654440487091
