r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;0.5;0
1;0.02;1;0.5;0
1;0.04;0.999993760416654;0.5;6.23958334637284E-06
1;0.06;0.999845052042812;0.5;0.000154947957187829
1;0.08;0.999501342986897;0.5;0.000498657013102767
1;0.1;0.998966630634489;0.5;0.00103336936551115
1;0.12;0.998244908857481;0.5;0.00175509114251861
1;0.14;0.997340166502033;0.5;0.00265983349796736
1;0.16;0.996256385908444;0.5;0.00374361409155619
1;0.18;0.994997541462924;0.5;0.00500245853707572
1;0.2;0.993567598181183;0.5;0.00643240181881681
1;0.22;0.991970510323779;0.5;0.00802948967622122
1;0.24;0.990210220043145;0.5;0.00978977995685535
1;0.26;0.988785264656282;0.5;0.0112147353437175
1;0.28;0.986748814817488;0.5;0.0132511851825122
1;0.3;0.984559930366636;0.5;0.0154400696333639
1;0.32;0.982222496538708;0.5;0.0177775034612924
1;0.34;0.979740380463409;0.5;0.0202596195365907
1;0.36;0.977117429992249;0.5;0.0228825700077513
1;0.38;0.974357472556467;0.5;0.0256425274435333
1;0.4;0.971464314055673;0.5;0.0285356859443269
1;0.42;0.968441737777013;0.5;0.0315582622229867
1;0.44;0.965293503344694;0.5;0.0347064966553061
1;0.46;0.962023345699679;0.5;0.0379766543003214
1;0.48;0.958634974109363;0.5;0.0413650258906373
1;0.5;0.955132071207024;0.5;0.0448679287929755
1;0.52;0.951518292060844;0.5;0.0484817079391555
1;0.54;0.947797263272275;0.5;0.0522027367277253
1;0.56;0.943972582103535;0.5;0.0560274178964646
1;0.58;0.940047815634007;0.5;0.0599521843659928
1;0.6;0.93602649994528;0.5;0.06397350005472
1;0.62;0.930869418484731;0.5;0.0691305815152686
1;0.64;0.926643629992943;0.5;0.0733563700070567
1;0.66;0.922332561153596;0.5;0.0776674388464038
1;0.68;0.917939607871454;0.5;0.0820603921285464
1;0.7;0.91346813123519;0.5;0.0865318687648096
1;0.72;0.908921456875762;0.5;0.0910785431242379
1;0.74;0.90430287435152;0.5;0.0956971256484803
1;0.76;0.899615636559787;0.5;0.100384363440213
1;0.78;0.894862959174606;0.5;0.105137040825394
1;0.8;0.890048020110359;0.5;0.109951979889641
1;0.82;0.885173959010962;0.5;0.114826040989038
1;0.84;0.880243876764329;0.5;0.119756123235671
1;0.86;0.875260835041803;0.5;0.124739164958197
1;0.88;0.87022785586223;0.5;0.12977214413777
1;0.9;0.86514792118037;0.5;0.13485207881963
1;0.92;0.860023972499332;0.5;0.139976027500668
1;0.940000000000001;0.854858910506689;0.5;0.145141089493311
1;0.960000000000001;0.849655594733971;0.5;0.150344405266029
1;0.980000000000001;0.844416843239198;0.5;0.155583156760802
1;1;0.83914543231212;0.5;0.16085456768788
1;1.02;0.833844096201838;0.5;0.166155903798162
1;1.04;0.828515526866466;0.5;0.171484473133534
1;1.06;0.823162373744493;0.5;0.176837626255507
1;1.08;0.817787243547521;0.5;0.182212756452479
1;1.1;0.812392700074017;0.5;0.187607299925983
1;1.12;0.806981264043755;0.5;0.193018735956245
1;1.14;0.80155541295259;0.5;0.19844458704741
1;1.16;0.796117580947228;0.5;0.203882419052772
1;1.18;0.790670158719643;0.5;0.209329841280357
1;1.2;0.785215493420793;0.5;0.214784506579207
1;1.22;0.778390481375163;0.5;0.221609518624837
1;1.24;0.774293604122645;0.5;0.225706395877355
1;1.26;0.768830856206842;0.5;0.231169143793158
1;1.28;0.763369817343717;0.5;0.236630182656283
1;1.3;0.756549161059189;0.5;0.243450838940811
