r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;0.5;0
1;0.08;1;0.508;0.00241969260889661
1;0.16;0.997580307391103;0.514790153695552;0.010971776361221
1;0.24;0.989028223638779;0.518494754278518;0.0254503709642095
1;0.32;0.97454962903579;0.519167682766134;0.0455119119250666
1;0.4;0.954488088074933;0.516933309317992;0.0707180963852995
1;0.48;0.929281903614701;0.511966121792475;0.100545922323763
1;0.56;0.899454077676237;0.504486464052161;0.134399359577462
1;0.64;0.865600640422538;0.494755378046721;0.171622088081774
1;0.72;0.828377911918226;0.483068818917946;0.211511042519071
1;0.8;0.788488957480929;0.469751364994643;0.253330494390103
1;0.88;0.746669505609897;0.455149550718974;0.296326399038802
1;0.96;0.703673600961198;0.439624954439504;0.339740736800821
1;1.04;0.660259263199179;0.423547174366184;0.382825584039098
1;1.12;0.617174415960902;0.407286824852639;0.424856661136106
1;1.2;0.575143338863894;0.391208681631822;0.465146120210796
1;1.28;0.534853879789204;0.375665098805388;0.503054355024067
1;1.36;0.496945644975933;0.360989812437067;0.538000638771071
1;1.44;0.461999361228929;0.347492235723372;0.565744015654379
1;1.52;0.434255984345621;0.337316542171549;0.597033149376409
1;1.6;0.402966850623591;0.3251460231853;0.62033751409223
1;1.68;0.37966248590777;0.316717575632378;0.63912279771926
1;1.76;0.36087720228074;0.310362233706125;0.653196497182524
1;1.84;0.346803502817476;0.306212401592739;0.662470986819862
1;1.92;0.337529013180138;0.30434958479661;0.666949015806053
1;2;0.333050984193947;0.304810802408955;0.666721369922906
1;2.08;0.333278630077094;0.30758903322408;0.661963092887
1;2.16;0.338036907113;0.31263440078265;0.652928243701232
1;2.24;0.347071756298768;0.319856120632438;0.639936878687902
1;2.32;0.360063121312098;0.329128377189493;0.623385505899839
1;2.4;0.376614494100161;0.340284568554021;0.603722860920898
1;2.48;0.396277139079102;0.353128806996293;0.581442528330061
1;2.56;0.418557471669939;0.367439190404344;0.560201974508291
1;2.64;0.439798025491709;0.381407927088589;0.537745392304758
1;2.72;0.462254607695242;0.396154602394289;0.511100691437986
1;2.8;0.488899308562014;0.413174989689237;0.483926360235482
1;2.88;0.516073639764518;0.430673349758985;0.456794100712569
1;2.96;0.543205899287431;0.448368068638558;0.433508610467202
1;3.04;0.566491389532798;0.464356460955541;0.404810800688511
1;3.12;0.595189199311489;0.483237296961149;0.389709810369817
1;3.2;0.610290189630183;0.495549305714988;0.367176991178311
1;3.28;0.632823008821689;0.511698036827782;0.347018973598089
1;3.36;0.652981026401911;0.526839629688467;0.329565819382855
1;3.44;0.670434180617145;0.540790055007299;0.31512756850609
1;3.52;0.68487243149391;0.553372653890619;0.303952903955157
1;3.6;0.696047096044843;0.564438965618036;0.296224363499824
1;3.68;0.703775636500176;0.573871612614062;0.292056528715609
1;3.76;0.707943471284391;0.58158573509817;0.291495492461558
1;3.84;0.708504507538442;0.587529800995471;0.294519599270429
1;3.92;0.705480400729571;0.591685783651343;0.301041415775342
1;4;0.698958584224658;0.594068718604723;0.310910866385481
1;4.08;0.689089133614519;0.594725661973451;0.325753799543953
1;4.16;0.674246200456047;0.592816908463131;0.34197865073289
1;4.24;0.65802134926711;0.590098452472311;0.358256633201014
1;4.32;0.641743366798986;0.587223632032386;0.381634208679972
1;4.4;0.618365791320028;0.580668791227299;0.401401870840913
1;4.48;0.598598129159087;0.575731886477388;0.425313499098618
1;4.56;0.574686500901382;0.568564857381809;0.450219703950753
1;4.64;0.549780296049247;0.560709246962952;0.475698866068048
1;4.72;0.524301133931952;0.552367908272699;0.501317739119045
1;4.8;0.498682260880955;0.543752880818656;0.526649810997887
1;4.88;0.473350189002113;0.535076302966282;0.554294006595838
1;4.96;0.445705993404162;0.525041006679324;0.577677787038781
1;5.04;0.422322212961219;0.516914764405086;0.599562979612635
1;5.12;0.400437020387365;0.509350745821848;0.619617622735341
1;5.2;0.380382377264659;0.502526920423594;0.63756281110714
1;5.28;0.36243718889286;0.496597385255812;0.653165053162292
1;5.36;0.346834946837708;0.491695761739379;0.666239385353548
1;5.44;0.333760614646452;0.487933275218453;0.676651622335355
1;5.52;0.323348377664645;0.485397241644721;0.684319616199823
1;5.6;0.315680383800177;0.484150031733804;0.689213526248867
1;5.68;0.310786473751133;0.484228519779683;0.691358062834624
1;5.76;0.308641937165376;0.485642543276814;0.690822828690456
1;5.84;0.309177171309544;0.488379295846221;0.687725963416165
1;5.92;0.312274036583835;0.492401145853843;0.682230722159126
1;6;0.317769277840874;0.497646958775033;0.674540418196259
1;6.08;0.325459581803741;0.504034264979193;0.664893720877974
1;6.16;0.335106279122026;0.511461290292766;0.653559410567504
1;6.24;0.346440589432496;0.519809295680977;0.640830704034302
1;6.32;0.359169295965698;0.528945173663038;0.627019265230062
1;6.4;0.372980734769938;0.538724247432884;0.612449019390805
1;6.48;0.387550980609195;0.548993216230672;0.597449889210572
1;6.56;0.402550110789428;0.559593189165662;0.582351570425592
1;6.64;0.417648429574408;0.570362749444467;0.567477460611672
1;6.72;0.432522539388328;0.581140991788022;0.553138849448333
1;6.8;0.446861150551667;0.591770477684799;0.539629471290994
1;6.88;0.460370528709006;0.602100055967881;0.527220511798935
1;6.96;0.472779488201065;0.611987499943583;0.516156149799504
1;7.04;0.483843850200496;0.621301916848907;0.506649703758219
1;7.12;0.493350296241781;0.629925890671153;0.498880439417629
1;7.2;0.501119560582371;0.637757325211383;0.492991081624883
1;7.28;0.507008918375117;0.644710960592415;0.48908605935628
1;7.36;0.51091394064372;0.650719543073717;0.48723049873606
1;7.44;0.51276950126394;0.655734634908977;0.487449964703224
1;7.52;0.512550035296776;0.659727057935506;0.48973093816328
1;7.60000000000001;0.51026906183672;0.662686971487853;0.494016902893749
1;7.68000000000001;0.505983097106251;0.664626141617312;0.50022460868879
1;7.76000000000001;0.49977539131121;0.665570153496641;0.508234309920026
1;7.84000000000001;0.491765690079974;0.665563506011513;0.517894543568663
1;7.92000000000001;0.482105456431337;0.664667514707834;0.529026837359586
1;8.00000000000001;0.470973162640414;0.662958211463824;0.541429643092421
1;8.08000000000001;0.458570356907579;0.660524593898529;0.554882605795752
1;8.16000000000001;0.445117394204248;0.657466675402124;0.569151077394374
