r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;-0.01;1;1;0
1;0;1;1;0
1;0.01;0.990049833749168;0.990049833749168;0.00995016625083189
1;0.02;0.980198673306755;0.980198673306755;0.0198013266932446
1;0.03;0.970544539356928;0.970544539356928;0.0294554606430725
1;0.04;0.961084486329074;0.961084486329074;0.0389155136709261
1;0.05;0.951814622639398;0.951814622639398;0.0481853773606024
1;0.06;0.942731124734925;0.942731124734925;0.057268875265075
1;0.07;0.933830245829576;0.933830245829576;0.0661697541704242
1;0.08;0.925108314463402;0.925108314463402;0.074891685536598
1;0.09;0.916561732989237;0.916561732989237;0.0834382670107633
1;0.1;0.908186976088737;0.908186976088737;0.0918130239112626
1;0.11;0.899980589318253;0.899980589318253;0.100019410681747
1;0.12;0.891939187683923;0.891939187683923;0.108060812316077
1;0.13;0.88405945424543;0.88405945424543;0.11594054575457
1;0.14;0.876338138747813;0.876338138747813;0.123661861252187
1;0.15;0.868772056280798;0.868772056280798;0.131227943719202
1;0.16;0.861358085965073;0.861358085965073;0.138641914034927
1;0.17;0.854093169664983;0.854093169664983;0.145906830335017
1;0.18;0.846974310727098;0.846974310727098;0.153025689272902
1;0.19;0.839998572744145;0.839998572744145;0.160001427255855
1;0.2;0.833163078343792;0.833163078343792;0.166836921656208
1;0.21;0.826465008001783;0.826465008001783;0.173534991998217
1;0.22;0.819901598878926;0.819901598878926;0.180098401121074
1;0.23;0.813470143681477;0.813470143681477;0.186529856318523
1;0.24;0.807167989544422;0.807167989544422;0.192832010455578
1;0.25;0.800992536937218;0.800992536937218;0.199007463062782
1;0.26;0.794941238591533;0.794941238591533;0.205058761408467
1;0.27;0.789011598450536;0.789011598450536;0.210988401549464
1;0.28;0.783201170639322;0.783201170639322;0.216798829360678
1;0.29;0.777507558456029;0.777507558456029;0.222492441543971
1;0.3;0.771928413383238;0.771928413383238;0.228071586616762
1;0.31;0.76646143411925;0.76646143411925;0.23353856588075
1;0.32;0.76110436562884;0.76110436562884;0.23889563437116
1;0.33;0.755854998213093;0.755854998213093;0.244145001786907
1;0.34;0.750711166597942;0.750711166597942;0.249288833402058
1;0.35;0.745670749041026;0.745670749041026;0.254329250958974
1;0.36;0.740731666456512;0.740731666456512;0.259268333543488
1;0.37;0.735891881557505;0.735891881557505;0.264108118442495
1;0.38;0.731149398015704;0.731149398015704;0.268850601984296
1;0.39;0.726502259637949;0.726502259637949;0.273497740362051
1;0.4;0.721948549559327;0.721948549559327;0.278051450440673
1;0.41;0.717486389452494;0.717486389452494;0.282513610547506
1;0.42;0.713113938752902;0.713113938752902;0.286886061247098
1;0.43;0.708829393899595;0.708829393899595;0.291170606100405
1;0.44;0.704630987591273;0.704630987591273;0.295369012408727
1;0.45;0.700516988057306;0.700516988057306;0.299483011942694
1;0.46;0.696485698343415;0.696485698343415;0.303514301656585
1;0.47;0.692535455611701;0.692535455611701;0.307464544388299
1;0.48;0.688664630454757;0.688664630454757;0.311335369545243
1;0.49;0.684871626223565;0.684871626223565;0.315128373776435
1;0.5;0.681154878368902;0.681154878368902;0.318845121631098
1;0.51;0.677512853795996;0.677512853795996;0.322487146204004
1;0.52;0.673944050232146;0.673944050232146;0.326055949767854
1;0.53;0.670446995607064;0.670446995607064;0.329553004392936
1;0.54;0.667020247445666;0.667020247445666;0.332979752554334
1;0.55;0.663662392273081;0.663662392273081;0.336337607726919
1;0.56;0.660372045031616;0.660372045031616;0.339627954968384
1;0.57;0.657147848509439;0.657147848509439;0.342852151490561
1;0.58;0.653988472780759;0.653988472780759;0.346011527219241
1;0.59;0.650892614657249;0.650892614657249;0.349107385342751
1;0.6;0.647858997150507;0.647858997150507;0.352141002849493
1;0.61;0.644886368945316;0.644886368945316;0.355113631054684
1;0.62;0.641973503883502;0.641973503883502;0.358026496116498
1;0.63;0.639119200458162;0.639119200458162;0.360880799541838
1;0.64;0.636322281318067;0.636322281318067;0.363677718681933
1;0.65;0.633581592782018;0.633581592782018;0.366418407217982
1;0.66;0.630896004362979;0.630896004362979;0.369103995637021
1;0.67;0.628264408301765;0.628264408301765;0.371735591698235
1;0.68;0.625685719110117;0.625685719110117;0.374314280889883
1;0.69;0.623158873122949;0.623158873122949;0.376841126877051
1;0.7;0.620682828059609;0.620682828059609;0.379317171940391
1;0.71;0.618256562593957;0.618256562593957;0.381743437406043
1;0.72;0.615879075933082;0.615879075933082;0.384120924066918
1;0.73;0.613549387404493;0.613549387404493;0.386450612595507
1;0.74;0.611266536051611;0.611266536051611;0.388733463948389
1;0.75;0.609029580237389;0.609029580237389;0.390970419762611
1;0.76;0.6068375972559;0.6068375972559;0.3931624027441
1;0.77;0.604689682951744;0.604689682951744;0.395310317048256
1;0.78;0.602584951347092;0.602584951347092;0.397415048652908
1;0.79;0.600522534276238;0.600522534276238;0.399477465723762
1;0.8;0.598501581027498;0.598501581027498;0.401498418972502
1;0.810000000000001;0.596521257992301;0.596521257992301;0.403478742007699
1;0.820000000000001;0.594580748321345;0.594580748321345;0.405419251678655
1;0.830000000000001;0.592679251587656;0.592679251587656;0.407320748412344
1;0.840000000000001;0.590815983456431;0.590815983456431;0.409184016543569
1;0.850000000000001;0.588990175361507;0.588990175361507;0.411009824638493
1;0.860000000000001;0.587201074188345;0.587201074188345;0.412798925811655
1;0.870000000000001;0.585447941963382;0.585447941963382;0.414552058036618
1;0.880000000000001;0.58373005554963;0.58373005554963;0.41626994445037
1;0.890000000000001;0.582046706348393;0.582046706348393;0.417953293651607
1;0.900000000000001;0.580397200006983;0.580397200006983;0.419602799993017
1;0.910000000000001;0.578780856132312;0.578780856132312;0.421219143867688
1;0.920000000000001;0.577197008010242;0.577197008010242;0.422802991989758
1;0.930000000000001;0.575645002330574;0.575645002330574;0.424354997669426
1;0.940000000000001;0.574124198917571;0.574124198917571;0.425875801082429
1;0.950000000000001;0.572633970465898;0.572633970465898;0.427366029534102
